,dom
2020-10-06,0.40608087084383393
2020-10-07,0.46038384938431415
2020-10-08,0.5343711178339785
2020-10-09,0.45544574728497633
2020-10-10,0.46157438889924474
2020-10-11,0.4757717035410879
2020-10-12,0.453252521314496
2020-10-13,0.4689017203224632
2020-10-14,0.4175531531553043
2020-10-15,0.4767454619496996
2020-10-16,0.4339367606725446
2020-10-17,
2020-10-17,0.48298257601072125
2020-10-18,0.5179219596514666
2020-10-20,0.4307326290638696
2020-10-21,0.4643721690190991
2020-10-21,0.4586996902490168
2020-10-22,0.5194022479447155
2020-10-24,0.43390097601717437
2020-10-25,0.48152515659152345
2020-10-25,0.46733970774864253
2020-10-26,0.5282508067225052
2020-10-27,0.4380108436376472
2020-10-28,0.5431858135250804
2020-10-29,0.511077644745869
2020-10-29,0.47751703258985506
2020-10-30,0.5303449222101788
2020-10-31,
2020-11-01,0.5898570196483945
2020-11-02,0.47240586653529404
2020-11-03,0.5182875131533272
2020-11-04,0.5493522862588665
2020-11-05,0.545907923446412
2020-11-06,0.4697898777333307
2020-11-07,0.517077924669858
2020-11-08,0.5304728847735416
2020-11-09,0.5284952962414524
2020-11-10,0.4587895225427559
2020-11-11,0.5170340847247838
2020-11-12,0.4756115108409317
2020-11-13,
2020-11-13,0.5288507225382834
2020-11-14,0.5293487315222917
2020-11-16,0.5521419741628315
2020-11-17,0.4843262528317199
2020-11-17,0.48077452521179015
2020-11-18,0.5469938928806299
2020-11-20,0.47294829629345253
2020-11-21,0.4750622218904844
2020-11-21,0.47858534933923474
2020-11-22,0.5252765077566843
2020-11-23,0.4345870767347001
2020-11-24,0.5386775749706018
2020-11-25,0.489553894923684
2020-11-25,0.5015176815744988
2020-11-26,0.522124579539254
2020-11-27,
2020-11-28,0.6182093371742035
2020-11-29,0.4954685267392242
2020-11-29,0.47759948757511134
2020-11-30,0.5218477024453161
2020-12-01,
2020-12-02,0.5272227461639796
2020-12-03,0.4315919653423737
2020-12-04,0.492578831268042
2020-12-05,0.46390751441282785
2020-12-06,0.42369057458171766
2020-12-06,0.5155098740868029
2020-12-07,
2020-12-08,0.48433014501744087
2020-12-09,0.4327096727950631
2020-12-10,0.5000360477644504
2020-12-10,
2020-12-11,0.5562025849173307
2020-12-12,0.4703222776814324
2020-12-13,0.5112491877717692
2020-12-14,0.47940648128384716
2020-12-14,
2020-12-15,0.40001997872376405
2020-12-16,0.4083086058011618
2020-12-17,
2020-12-18,0.4607721827028906
2020-12-18,0.5686510634139115
2020-12-19,0.5330281192742198
2020-12-20,0.4003770952613962
2020-12-21,0.55085281657914
2020-12-22,0.44926194939774367
2020-12-22,0.49132274213575483
2020-12-23,0.5152413601085156
2020-12-24,
2020-12-25,0.5355764428431613
2020-12-26,0.4723584529133904
2020-12-26,0.433555836320386
2020-12-27,0.5064212815358576
2020-12-28,
2020-12-29,0.5182250830541567
2020-12-30,0.42688610894550066
2020-12-31,0.4850784321768931
2021-01-01,0.4515634363837296
2021-01-02,0.42013799178112876
